"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.918436375E0,-9.234297180E-1,-5.435197449E-1,1.832189941E0
6.938528375E0,-6.563850403E-1,1.775308228E-1,4.120930481E0
6.958620375E0,-2.191442871E-1,8.907975769E-1,6.174360352E0
6.978712375E0,7.247927856E-1,1.491348724E0,6.627917175E0
6.998804375E0,1.560355225E0,2.343975677E0,7.690557404E0
7.018896375E0,8.436456299E-1,2.994373169E0,9.749525757E0
7.038988375E0,-5.505551147E-1,3.077749786E0,1.220217545E1
7.059080375E0,-9.277706909E-1,4.022734680E0,1.564007629E1
7.079172375E0,-3.362008667E-1,5.363646240E0,1.719758743E1
7.099264375E0,-2.270777893E-1,5.773044891E0,1.627834900E1
7.119356375E0,-1.605860596E0,6.204447784E0,1.509311371E1
7.139448375E0,-1.749112701E0,5.874084778E0,1.526690231E1
7.159540375E0,-9.785151672E-1,4.344864807E0,1.749636612E1
7.179632375E0,-5.188211060E-1,2.223476257E0,1.794468384E1
7.199724375E0,-7.812254333E-1,6.730004883E-1,1.516661087E1
7.219816375E0,-1.373843079E0,4.345463562E-1,1.198273178E1
7.239908375E0,-1.163680115E0,8.720864868E-1,9.123527527E0
7.260000375E0,-3.329077148E-1,1.363065491E0,7.059320068E0
7.280092375E0,3.956272888E-1,1.725012817E0,5.181325378E0
7.300184375E0,8.833131409E-1,2.070045319E0,3.568279724E0
7.320276375E0,9.999206543E-1,2.337988129E0,2.650538177E0
7.340368375E0,5.022056580E-1,2.028282166E0,2.507585449E0
7.360460375E0,-2.993774414E-1,1.452130280E0,3.242856445E0
7.380552375E0,-7.646099854E-1,7.304809570E-1,3.376229095E0
7.400644375E0,-8.419990540E-1,1.725910950E-1,2.693947906E0
7.420736375E0,-8.912466431E-1,5.014572144E-1,2.746189270E0
7.440827375E0,-1.252595215E0,1.388213196E0,4.097728729E0
7.460919375E0,-2.494113464E0,2.354603577E0,7.201075287E0
7.481011375E0,-2.416125641E0,3.423979797E0,1.040800644E1
7.501103375E0,-3.632346497E0,4.457430725E0,1.322170532E1
7.521195375E0,-4.067192230E0,5.049748993E0,1.597283432E1
7.541287375E0,-2.130369873E0,5.092260590E0,1.831007401E1
