"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.903006333E0,-4.299060059E-1,3.120710449E0,6.300997009E0
5.923002333E0,-7.694000244E-1,3.126248932E0,5.769901428E0
5.942998333E0,-3.177891541E-1,2.872825928E0,5.885760498E0
5.962994333E0,4.547543335E-1,2.777923279E0,6.382876740E0
5.982990333E0,6.743476868E-1,3.097209320E0,7.153773651E0
6.002985333E0,8.292755127E-1,3.429218903E0,7.826774139E0
6.022981333E0,9.717791748E-1,3.626957703E0,8.309819641E0
6.042977333E0,4.915777588E-1,3.544628906E0,8.240364075E0
6.062973333E0,-1.526824951E-1,3.462599487E0,7.370073853E0
6.082969333E0,-5.450166321E-1,3.761527863E0,6.627168732E0
6.102964333E0,-8.015830994E-1,4.348157959E0,6.620133362E0
6.122960333E0,-5.695655823E-1,4.436623993E0,7.533384247E0
6.142956333E0,-6.768923950E-1,4.628225555E0,8.729995880E0
6.162952333E0,-4.171824646E-1,4.337080994E0,1.002450394E1
6.182948333E0,-3.318598938E-1,3.766018524E0,1.097263229E1
6.202943333E0,-1.511856079E-2,3.739673309E0,1.168949158E1
6.222939333E0,4.435276794E-1,4.153113556E0,1.184831131E1
6.242935333E0,1.100361786E0,4.467609558E0,1.292726761E1
6.262931333E0,1.729503479E0,4.196672974E0,1.410576691E1
6.282927333E0,2.055824890E0,3.819457397E0,1.414693130E1
6.302922333E0,1.773661652E0,3.743265839E0,1.312171326E1
6.322918333E0,1.376537476E0,3.715723114E0,1.207853256E1
6.342914333E0,8.855584717E-1,3.855532379E0,1.066098038E1
6.362910333E0,4.493655396E-1,4.084705811E0,9.093290405E0
6.382906333E0,3.041674805E-1,4.339775391E0,7.830815735E0
6.402901333E0,1.701960754E-1,4.298461304E0,7.379653931E0
6.422897208E0,-2.450404358E-1,4.142485657E0,7.443870392E0
6.442893208E0,-1.221459961E-1,3.844305725E0,7.871680756E0
6.462889208E0,3.637435913E-2,3.514092407E0,7.836503906E0
6.482885208E0,1.193019104E-1,3.515289917E0,7.410789185E0
6.502880208E0,3.607498169E-2,3.732937317E0,6.760840759E0
6.522876208E0,-4.695735168E-1,3.823349304E0,6.191125488E0
6.542872208E0,-7.499404907E-2,3.649710388E0,6.073619843E0
6.562868208E0,1.190025330E-1,3.884122925E0,6.490951996E0
6.582863208E0,3.293151855E-2,3.698359222E0,6.045029297E0
6.602859208E0,-3.382965088E-1,3.816463623E0,5.501359863E0
