"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.679088167E0,1.347198486E-3,4.698728943E-1,1.382659744E1
4.699084167E0,5.195695496E-1,1.418600006E0,1.153905441E1
4.719080167E0,1.124461670E0,1.788031769E0,9.871222687E0
4.739076167E0,1.777104492E0,2.628384247E0,8.738528137E0
4.759071167E0,2.088457031E0,3.055895233E0,7.670050049E0
4.779067167E0,1.782942352E0,3.006348267E0,6.488407288E0
4.799063167E0,1.146316223E0,2.920277252E0,5.614674225E0
4.819059167E0,9.830058289E-1,3.007246399E0,5.659281464E0
4.839054167E0,9.610015869E-1,3.151546326E0,5.183570709E0
4.859050167E0,1.269659729E0,3.355721741E0,4.812642059E0
4.879046167E0,1.472937012E0,3.030747528E0,5.207071838E0
4.899042167E0,2.252366180E0,2.657274170E0,7.069349213E0
4.919037167E0,2.491718445E0,2.485581207E0,8.669072571E0
4.939033167E0,1.962718506E0,2.356399841E0,9.152417450E0
4.959029167E0,1.396595764E0,2.116149445E0,9.205706635E0
4.979025167E0,1.063538361E0,2.183958435E0,9.350455627E0
4.999019792E0,4.420307922E-1,2.464475098E0,9.466015320E0
5.019015792E0,4.444258118E-1,2.753823395E0,9.264983368E0
5.039011792E0,4.299060059E-1,3.211421814E0,9.111103363E0
5.059007792E0,4.096980286E-1,3.764222260E0,8.846004639E0
5.079002792E0,3.787124634E-2,3.883973236E0,7.723339233E0
5.098998792E0,-7.171586609E-1,4.575086060E0,6.763385468E0
5.118994792E0,-2.956352234E-1,5.385051727E0,6.315067749E0
5.138989792E0,7.105723572E-1,6.109994202E0,6.770869904E0
5.158985792E0,2.703827362E0,5.493276672E0,9.288334808E0
5.178981792E0,5.097350006E0,3.065325623E0,1.312680267E1
5.198977792E0,5.931864624E0,2.755769348E0,1.682890411E1
5.218972792E0,4.717290344E0,6.340814209E-1,1.747002090E1
5.238968792E0,3.819756775E0,-1.802252197E-1,1.624481873E1
5.258964792E0,3.111130371E0,3.155438232E-1,1.479343689E1
5.278960792E0,3.293451233E0,6.430627441E-1,1.274569519E1
5.298955792E0,2.892285461E0,1.003513184E0,1.138712036E1
5.318951792E0,2.695744171E0,1.004261627E0,1.033810181E1
5.338947792E0,2.377955017E0,1.110241241E0,9.002279663E0
5.358943792E0,1.971699829E0,1.228645020E0,7.815248108E0
5.378938792E0,1.717378693E0,1.441652069E0,7.215295715E0
5.398934792E0,1.297052765E0,1.635199585E0,6.694079590E0
5.418930792E0,9.912387085E-1,1.758543091E0,6.093528442E0
5.438926792E0,4.090992737E-1,1.975442047E0,5.655988312E0
5.458921792E0,9.250762939E-2,2.215243378E0,5.640420685E0
5.478917792E0,1.616638184E-2,2.030228119E0,5.527854767E0
5.498913792E0,-2.186952209E-1,2.503843231E0,5.704188080E0
5.518909792E0,-2.674937439E-1,2.849324799E0,6.158044281E0
5.538904792E0,5.152285767E-1,2.851270752E0,7.339237976E0
5.558900792E0,1.166224823E0,2.475252686E0,8.789422302E0
5.578896792E0,7.390132141E-1,1.556912384E0,1.056787399E1
5.598892792E0,7.574249268E-2,9.532177734E-1,1.180774567E1
5.618887792E0,-9.166937256E-1,1.709145813E0,1.181238602E1
5.638883792E0,-1.747765503E0,2.588567047E0,1.057969940E1
5.658879792E0,-2.088756409E0,2.942880249E0,9.344917145E0
5.678875792E0,-2.500550079E0,3.004851379E0,8.415649567E0
5.698870792E0,-3.328328705E0,3.725752258E0,8.768615570E0
5.718866792E0,-2.423759766E0,2.918031921E0,8.243806915E0
5.738862792E0,-3.425326996E0,4.153862000E0,9.439670105E0
5.758858792E0,-3.288511505E0,4.124523010E0,1.010039612E1
5.778853792E0,-3.333118744E0,3.219355316E0,1.199770065E1
5.798849792E0,-3.429967346E0,1.422940979E0,1.462847992E1
5.818845792E0,-3.061583405E0,3.288661194E-1,1.563813034E1
5.838840792E0,-2.332150269E0,8.222401428E-1,1.436862030E1
5.858836792E0,-1.321601715E0,1.994003448E0,1.175310928E1
5.878832792E0,-5.330415344E-1,2.909499664E0,9.850415955E0
5.898828792E0,7.120692444E-1,2.729873199E0,8.096064148E0
5.918823792E0,8.273295593E-1,3.624412994E0,7.290888519E0
5.938819792E0,8.526269531E-1,4.111350403E0,6.112089844E0
5.958815792E0,7.906558228E-1,3.862268372E0,5.855673065E0
5.978811792E0,4.290078735E-1,3.742966461E0,5.784870300E0
5.998806917E0,1.469943237E-1,3.746259613E0,5.418731689E0
6.018802917E0,9.071136475E-2,3.959416351E0,5.088817749E0
6.038798917E0,6.286926270E-3,3.946543121E0,4.780458984E0
6.058794917E0,4.430786133E-2,3.964954834E0,5.087919617E0
6.078789917E0,6.586303711E-3,4.248614960E0,5.888604584E0
6.098785917E0,-7.583230591E-1,3.982318726E0,6.558311920E0
6.118781917E0,-1.553170166E0,3.557352448E0,6.263574829E0
6.138777917E0,-2.064806213E0,3.380869446E0,6.200106812E0
6.158772917E0,-2.202669525E0,3.455264740E0,6.763984222E0
6.178768917E0,-2.091001740E0,3.929029541E0,7.777975616E0
6.198764917E0,-2.053579559E0,4.315675507E0,8.476572876E0
6.218760917E0,-2.511028290E0,4.699776764E0,8.951235809E0
6.238755917E0,-2.996019745E0,4.640649719E0,9.704918518E0
6.258751917E0,-3.120710449E0,4.801565094E0,1.077369598E1
6.278747917E0,-2.841091919E0,5.193899231E0,1.150507507E1
6.298742917E0,-2.356250153E0,5.861061859E0,1.255798553E1
6.318738917E0,-2.000440063E0,6.314618683E0,1.348321152E1
6.338734917E0,-1.991907806E0,6.363267517E0,1.362706238E1
6.358730917E0,-1.522184601E0,5.987099762E0,1.369517075E1
6.378725917E0,-9.015751648E-1,5.433251495E0,1.328726898E1
6.398721917E0,-3.676354980E-1,4.668042755E0,1.237536530E1
6.418717917E0,8.337661743E-2,3.884272614E0,1.105690704E1
6.438713917E0,2.257305908E-1,3.629951477E0,9.946067047E0
6.458708917E0,4.578977966E-1,3.625610504E0,8.817264404E0
6.478704917E0,3.471281433E-1,3.839216309E0,7.545359344E0
6.498700917E0,-6.436614990E-2,4.073628845E0,6.552324371E0
6.518696917E0,-5.433700562E-2,3.932472382E0,6.095624084E0
6.538691917E0,2.869532776E-1,3.793860626E0,5.822891235E0
6.558687917E0,7.333250427E-1,3.340752869E0,5.762416992E0
6.578683917E0,2.748284912E-1,3.631448364E0,6.334676971E0
6.598678917E0,8.330177307E-1,3.139271851E0,7.091802521E0
6.618674917E0,1.694027252E0,2.608475647E0,7.833360443E0
6.638670917E0,2.099533997E0,2.218237152E0,8.443192291E0
6.658666917E0,2.134561157E0,1.960173798E0,8.277037811E0
6.678661917E0,1.319057007E0,2.476150818E0,8.289761353E0
6.698657917E0,6.234535217E-1,2.222727814E0,8.910221100E0
6.718653917E0,1.620530090E0,2.016456757E0,8.991053009E0
6.738649917E0,1.253643036E0,2.594853973E0,8.919352112E0
6.758644917E0,1.119521942E0,3.030597839E0,8.591982880E0
6.778640917E0,5.514532471E-1,3.301384735E0,7.696395264E0
6.798636917E0,-4.331991577E-1,3.487747192E0,6.859635315E0
6.818631917E0,-1.075064392E0,3.489992523E0,6.482868805E0
6.838627917E0,-1.418600006E0,3.547472992E0,7.158114624E0
6.858623917E0,-8.753796387E-1,3.795058136E0,8.517138519E0
6.878619917E0,1.366658020E-1,3.907773743E0,9.531728668E0
6.898614917E0,9.267228699E-1,4.078119507E0,1.021820114E1
6.918610917E0,1.265318756E0,4.311334534E0,1.090916428E1
6.938606917E0,1.599723358E0,3.831432495E0,1.241623032E1
6.958602917E0,2.046843567E0,2.892135773E0,1.365176102E1
6.978597917E0,2.125130768E0,2.138902130E0,1.409828247E1
6.998593833E0,2.134860535E0,1.696721649E0,1.372840164E1
7.018589833E0,2.010469208E0,1.463207245E0,1.261471756E1
7.038585833E0,1.807640991E0,1.889520721E0,1.084150497E1
7.058580833E0,1.802701263E0,2.563269653E0,9.261989594E0
7.078576833E0,2.007774811E0,3.045866089E0,8.020171967E0
7.098572833E0,2.101929016E0,3.417842560E0,7.039860535E0
7.118567833E0,1.681004333E0,3.611839142E0,6.368057556E0
7.138563833E0,1.210532684E0,3.482807465E0,6.146368561E0
7.158559833E0,8.237370300E-1,3.270548859E0,6.553222504E0
7.178555833E0,7.732919312E-1,2.953059082E0,6.987469482E0
7.198550833E0,6.262976074E-1,2.684068451E0,7.378456421E0
7.218546833E0,3.363505554E-1,2.567910004E0,7.649393005E0
7.238542833E0,4.206253052E-2,2.567460938E0,8.096962280E0
7.258538833E0,-1.600172424E-1,2.485281830E0,8.581804047E0
7.278533833E0,-2.746788025E-1,2.383343811E0,8.832981720E0
7.298529833E0,-4.489164734E-1,2.473157043E0,8.898695068E0
7.318525833E0,-4.658312988E-1,2.675985260E0,8.814420319E0
7.338520833E0,-6.559359741E-1,2.939736786E0,8.411458282E0
7.358516833E0,-8.548722839E-1,3.376678162E0,8.387208710E0
7.378512833E0,-6.873706055E-1,3.686982880E0,9.075178070E0
7.398508833E0,-3.793112183E-1,3.792812805E0,1.024903702E1
7.418503833E0,1.901046753E-1,3.739673309E0,1.149309998E1
7.438499833E0,6.162684631E-1,3.547622681E0,1.278611115E1
7.458495833E0,9.062155151E-1,3.133134613E0,1.341884537E1
7.478491833E0,1.041983185E0,2.880909119E0,1.304686890E1
